FECHA Y HORA,FECHA,HORA,LINEA,MOTIVO,DURACION
29/05/2019 08:26,29/05/19,08:26:11,A,Servicio interrumpido por medida de fuerza gremial,20:31:52
19/12/2019 15:16,19/12/19,15:16:02,A,Los trenes no se detienen en la estacion Congreso,12:00:07
24/03/2019 14:40,24/03/19,14:40:03,A,Servicio limitado entre Peru y San Pedrito,10:52:01
20/12/2019 08:30,20/12/19,08:30:05,A,Los trenes no se detienen en la estacion Congreso,05:47:59
10/12/2019 12:16,10/12/19,12:16:04,A,Los trenes no se detienen en la estacion Congreso,05:13:59
19/01/2019 09:52,19/01/19,09:52:02,A,Servicio limitado entre Plaza Miserere y San Pedrito,04:54:06
01/03/2019 11:44,01/03/19,11:44:06,A,Servicio limitado entre Plaza Miserere y San Pedrito,04:39:56
15/08/2019 20:48,15/08/19,20:48:13,A,Servicio limitado entre San Pedrito y Plaza Miserere,04:17:56
06/09/2019 16:12,06/09/19,16:12:02,A,Servicio interrumpido por medida de fuerza gremial,03:50:01
25/05/2019 10:58,25/05/19,10:58:04,A,Servicio limitado entre Peru y San Pedrito,03:37:57
12/09/2019 15:52,12/09/19,15:52:03,A,Los trenes no se detienen en la estacion Congreso,03:20:07
16/06/2019 15:44,16/06/19,15:44:10,A,Interrumpida por falta de suministro de energia electrica,03:13:59
24/09/2019 18:52,24/09/19,18:52:02,A,Los trenes no se detienen en la estacion Congreso,03:08:05
20/11/2019 08:32,20/11/19,08:32:05,A,Servicio interrumpido por medida de fuerza gremial,02:58:19
11/04/2019 14:08,11/04/19,14:08:12,A,Servicio limitado entre San Jose de Flores y Plaza de Mayo,02:56:01
29/08/2019 00:10,29/08/19,00:10:13,A,Servicio interrumpido por medida de fuerza gremial,02:37:52
01/03/2019 08:36,01/03/19,08:36:04,A,Servicio limitado entre Plaza Miserere y San Pedrito,02:34:02
24/03/2019 11:58,24/03/19,11:58:03,A,Servicio limitado entre Peru y San Pedrito,02:32:12
24/09/2019 22:02,24/09/19,22:02:10,A,Los trenes no se detienen en la estacion Congreso,02:31:54
25/08/2019 23:40,25/08/19,23:40:02,A,Servicio interrumpido,02:16:00
17/09/2019 11:20,17/09/19,11:20:05,A,Servicio con demora debido a un problema tecnico,02:02:05
22/08/2019 01:02,22/08/19,01:02:02,A,Interrumpida por medida de fuerza gremial,01:54:00
14/08/2019 08:40,14/08/19,08:40:05,A,Servicio interrumpido por medida de fuerza gremial,01:50:13
10/01/2019 21:24,10/01/19,21:24:02,A,Los trenes no se detienen en la estacion Congreso,01:46:05
04/12/2019 10:52,04/12/19,10:52:09,A,Servicio limitado entre Plaza de Mayo y Loria,01:37:53
25/10/2019 19:10,25/10/19,19:10:12,A,Los trenes no se detienen en la estacion Primera Junta,01:35:50
05/07/2019 19:00,05/07/19,19:00:13,A,Servicio con demora,01:25:49
08/09/2019 12:30,08/09/19,12:30:13,A,Los trenes no se detienen en la estacion Lima,01:17:55
24/08/2019 13:46,24/08/19,13:46:02,A,Servicio limitado entre Acoyte y Plaza de Mayo,01:14:12
14/02/2019 10:24,14/02/19,10:24:03,A,Servicio limitado entre San Jose de Flores y Plaza de Mayo,01:06:05
01/02/2019 19:44,01/02/19,19:44:07,A,Servicio limitado entre Peru y San Pedrito,01:05:56
03/02/2019 13:02,03/02/19,13:02:02,A,Servicio limitado entre Lima y San Pedrito,01:04:00
13/01/2019 19:20,13/01/19,19:20:04,A,Servicio limitado entre Plaza de Mayo y Loria,01:02:00
12/06/2019 12:32,12/06/19,12:32:10,A,Servicio con demora debido a un problema tecnico,00:57:56
23/08/2019 20:44,23/08/19,20:44:04,A,Servicio con demora debido a un problema tecnico,00:54:06
05/07/2019 18:06,05/07/19,18:06:02,A,Servicio con demora debido a un problema tecnico,00:52:00
28/03/2019 09:02,28/03/19,09:02:03,A,Servicio limitado entre San Jose de Flores y Plaza de Mayo,00:48:06
31/07/2019 21:58,31/07/19,21:58:02,A,Servicio con demora debido a un problema tecnico,00:48:05
10/01/2019 23:12,10/01/19,23:12:07,A,Los trenes no se detienen en la estacion Congreso,00:47:56
30/10/2019 19:28,30/10/19,19:28:14,A,Servicio con demora debido a un problema tecnico,00:43:49
17/06/2019 19:38,17/06/19,19:38:03,A,Los trenes no se detienen en Rio de Janeiro,00:42:04
14/08/2019 01:46,14/08/19,01:46:11,A,Servicio limitado entre San Pedrito y Rio de Janeiro,00:42:01
17/10/2019 22:54,17/10/19,22:54:03,A,Servicio limitado entre Plaza Miserere y San Pedrito,00:40:08
07/06/2019 17:42,07/06/19,17:42:08,A,Servicio con demora debido a un problema tecnico,00:39:57
01/07/2019 11:16,01/07/19,11:16:10,A,Servicio con demora debido a un problema tecnico,00:39:52
06/12/2019 09:48,06/12/19,09:48:09,A,Servicio limitado entre Plaza de Mayo y Loria,00:38:00
08/02/2019 08:38,08/02/19,08:38:02,A,Interrumpida por falta de suministro de energia electrica,00:36:00
26/03/2019 15:28,26/03/19,15:28:11,A,Servicio con demora debido a un problema tecnico,00:35:52
27/11/2019 17:56,27/11/19,17:56:04,A,Servicio con demora debido a un problema tecnico,00:34:14
05/02/2019 17:34,05/02/19,17:34:02,A,Los trenes no se detienen en la estacion Loria,00:32:07
09/11/2019 21:12,09/11/19,21:12:09,A,Servicio con demora debido a la atencion medica a un usuario,00:32:06
06/11/2019 21:02,06/11/19,21:02:03,A,Los trenes no se detienen en la estacion Puan,00:30:10
11/01/2019 00:02,11/01/19,00:02:02,A,Los trenes no se detienen en la estacion Congreso,00:30:00
24/10/2019 15:32,24/10/19,15:32:03,A,Servicio con demora debido a un problema tecnico,00:28:04
11/04/2019 13:38,11/04/19,13:38:03,A,Servicio limitado entre San Jose de Flores y Plaza de Mayo,00:27:59
27/11/2019 13:20,27/11/19,13:20:19,A,Servicio con demora debido a un problema tecnico,00:27:46
27/03/2019 17:08,27/03/19,17:08:02,A,Servicio con demora debido a un problema tecnico,00:26:08
18/11/2019 11:20,18/11/19,11:20:17,A,Servicio interrumpido,00:25:57
03/11/2019 19:58,03/11/19,19:58:02,A,Servicio limitado entre Plaza de Mayo y Loria,00:24:12
21/08/2019 08:38,21/08/19,08:38:01,A,Servicio interrumpido,00:24:04
02/07/2019 17:36,02/07/19,17:36:10,A,Servicio con demora,00:24:03
29/08/2019 23:02,29/08/19,23:02:08,A,Servicio con demora debido a un problema tecnico,00:24:01
30/10/2019 11:04,30/10/19,11:04:02,A,Servicio limitado entre San Jose de Flores y Plaza de Mayo,00:24:01
30/10/2019 11:38,30/10/19,11:38:03,A,Servicio limitado entre San Jose de Flores y Plaza de Mayo,00:24:00
08/05/2019 20:14,08/05/19,20:14:04,A,Servicio con demora,00:23:58
26/10/2019 15:06,26/10/19,15:06:03,A,Servicio con demora,00:22:08
22/01/2019 21:42,22/01/19,21:42:03,A,Servicio con demora debido a la atencion medica a un usuario,00:22:05
05/05/2019 17:16,05/05/19,17:16:09,A,Servicio limitado entre San Pedrito y Plaza Miserere,00:22:01
08/11/2019 13:02,08/11/19,13:02:08,A,Servicio con demora debido a la atencion medica a un usuario,00:21:55
17/01/2019 00:46,17/01/19,00:46:03,A,Servicio limitado entre Acoyte y Plaza Miserere,00:20:01
04/09/2019 02:04,04/09/19,02:04:08,A,Servicio limitado entre San Pedrito y Rio de Janeiro,00:19:56
04/10/2019 15:54,04/10/19,15:54:11,A,Servicio con demora debido a un problema tecnico,00:19:52
23/08/2019 10:40,23/08/19,10:40:02,A,Servicio con demora debido a un problema tecnico,00:18:09
13/11/2019 15:36,13/11/19,15:36:15,A,Servicio con demora,00:17:53
03/09/2019 01:06,03/09/19,01:06:10,A,Servicio limitado entre San Pedrito y Plaza Miserere,00:17:53
02/07/2019 17:16,02/07/19,17:16:11,A,Servicio limitado entre San Pedrito y Rio de Janeiro,00:15:58
26/10/2019 15:30,26/10/19,15:30:15,A,Servicio limitado entre San Pedrito y Plaza Miserere,00:15:55
31/05/2019 13:00,31/05/19,13:00:12,A,Servicio con demora debido a la atencion medica a un usuario,00:15:53
24/08/2019 13:28,24/08/19,13:28:10,A,Servicio limitado entre San Pedrito y Rio de Janeiro,00:15:51
24/06/2019 15:50,24/06/19,15:50:02,A,Servicio limitado entre Carabobo y Plaza de Mayo,00:14:09
13/01/2019 19:04,13/01/19,19:04:02,A,Servicio interrumpido,00:14:07
24/06/2019 18:36,24/06/19,18:36:04,A,Servicio limitado entre San Pedrito y Plaza Miserere,00:14:05
24/09/2019 18:36,24/09/19,18:36:11,A,Los trenes no se detienen en la estacion Congreso,00:14:01
30/10/2019 12:40,30/10/19,12:40:07,A,Servicio limitado entre San Jose de Flores y Plaza de Mayo,00:13:57
07/06/2019 18:24,07/06/19,18:24:08,A,Servicio limitado entre San Pedrito y Plaza Miserere,00:13:56
07/06/2019 18:42,07/06/19,18:42:10,A,Servicio con demora,00:13:52
08/05/2019 22:28,08/05/19,22:28:10,A,Servicio con demora debido a la atencion medica a un usuario,00:13:52
10/06/2019 21:48,10/06/19,21:48:04,A,Servicio limitado entre San Pedrito y Plaza Miserere,00:12:09
30/10/2019 10:40,30/10/19,10:40:03,A,Servicio limitado entre San Jose de Flores y Plaza de Mayo,00:12:07
21/08/2019 18:22,21/08/19,18:22:06,A,Servicio con demora debido a un problema tecnico,00:12:04
17/10/2019 22:40,17/10/19,22:40:09,A,Servicio limitado entre Plaza Miserere y San Pedrito,00:12:02
02/08/2019 21:40,02/08/19,21:40:06,A,Servicio con demora debido a un problema tecnico,00:12:01
12/09/2019 15:26,12/09/19,15:26:05,A,Los trenes no se detienen en la estacion Congreso,00:12:00
16/08/2019 01:14,16/08/19,01:14:09,A,Servicio con demora,00:12:00
22/05/2019 15:44,22/05/19,15:44:02,A,Servicio con demora,00:11:59
13/11/2019 22:50,13/11/19,22:50:19,A,Servicio limitado entre San Pedrito y Piedras,00:11:59
01/03/2019 11:20,01/03/19,11:20:07,A,Servicio limitado entre Plaza Miserere y San Pedrito ,00:11:56
24/05/2019 22:50,24/05/19,22:50:04,A,Servicio con demora debido a un problema tecnico,00:09:58
06/11/2019 20:50,06/11/19,20:50:14,A,Los trenes no se detienen en la estacion Puan,00:09:57
26/07/2019 13:30,26/07/19,13:30:08,A,Servicio limitado entre Carabobo y Plaza de Mayo,00:09:54
14/06/2019 20:50,14/06/19,20:50:14,A,Servicio limitado entre San Pedrito y Rio de Janeiro,00:09:51
14/06/2019 21:06,14/06/19,21:06:12,A,Servicio con demora,00:09:50
25/10/2019 23:10,25/10/19,23:10:15,A,Servicio con demora debido a la atencion medica a un usuario,00:09:50
08/02/2019 09:22,08/02/19,09:22:03,A,Servicio con demora,00:08:06
30/10/2019 10:54,30/10/19,10:54:09,A,Servicio limitado entre San Jose de Flores y Plaza de Mayo,00:08:05
18/10/2019 18:52,18/10/19,18:52:02,A,Servicio con demora debido a la atencion medica a un usuario,00:08:04
18/11/2019 17:38,18/11/19,17:38:03,A,Los trenes no se detienen en la estacion Lima,00:08:01
04/01/2019 20:22,04/01/19,20:22:09,A,Servicio con demora debido a la atencion medica a un usuario,00:08:00
18/03/2019 09:56,18/03/19,09:56:08,A,Servicio con demora debido a un problema tecnico,00:07:54
01/04/2019 10:50,01/04/19,10:50:11,A,Servicio con demora debido a un problema tecnico,00:07:53
20/08/2019 11:20,20/08/19,11:20:11,A,Interrupcion debido a un problema tecnico,00:07:51
06/09/2019 16:02,06/09/19,16:02:19,A,Interrumpida por medida de fuerza gremial,00:07:45
26/07/2019 16:54,26/07/19,16:54:04,A,Con demora por procedimiento policial,00:06:10
09/08/2019 19:08,09/08/19,19:08:05,A,Servicio con demora,00:06:06
17/01/2019 01:08,17/01/19,01:08:02,A,Servicio limitado entre Acoyte y Plaza de Mayo,00:06:06
26/09/2019 10:16,26/09/19,10:16:10,A,Servicio limitado entre Acoyte y Plaza de Mayo,00:06:02
16/05/2019 18:24,16/05/19,18:24:03,A,Los trenes no se detienen en Plaza Miserere,00:06:01
21/08/2019 00:22,21/08/19,00:22:02,A,Servicio con demora,00:06:00
10/06/2019 22:06,10/06/19,22:06:04,A,Servicio con demora,00:06:00
02/07/2019 17:08,02/07/19,17:08:02,A,Servicio limitado entre Plaza de Mayo y Loria,00:06:00
20/08/2019 11:32,20/08/19,11:32:10,A,Servicio con demora,00:05:53
24/06/2019 18:56,24/06/19,18:56:09,A,Servicio con demora,00:05:53
12/06/2019 21:18,12/06/19,21:18:12,A,Servicio con demora debido a un problema tecnico,00:05:51
04/10/2019 16:40,04/10/19,16:40:12,A,Servicio con demora debido a un problema tecnico,00:05:50
12/09/2019 15:46,12/09/19,15:46:02,A,Los trenes no se detienen en la estacion Congreso,00:04:11
29/08/2019 00:04,29/08/19,00:04:02,A,Interrumpida por medida de fuerza gremial,00:04:06
16/03/2019 15:28,16/03/19,15:28:02,A,Servicio limitado entre San Pedrito y Plaza Miserere,00:04:06
21/08/2019 00:14,21/08/19,00:14:05,A,Servicio limitado entre Plaza de Mayo y Loria,00:04:05
17/06/2019 20:24,17/06/19,20:24:05,A,Servicio limitado entre San Jose de Flores y Plaza de Mayo,00:04:05
11/07/2019 22:00,11/07/19,22:00:09,A,Servicio limitado entre Acoyte y Plaza de Mayo,00:04:04
