Fecha;Linea;Mensaje;Duración
"28.11.2020 09:02:02";A;"Servicio limitado Lima y San Pedrito Por obras de mejora";08:46:00
"28.11.2020 09:02:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";08:46:00
"28.11.2020 09:02:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";08:46:00
"28.11.2020 09:02:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";08:46:00
"28.11.2020 09:02:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";08:46:00
"28.11.2020 09:02:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";08:46:00
"27.11.2020 09:02:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:56:01
"27.11.2020 09:02:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:56:01
"27.11.2020 09:02:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:56:01
"27.11.2020 09:02:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:56:01
"27.11.2020 09:02:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:56:01
"27.11.2020 09:02:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:56:01
"27.11.2020 01:32:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";07:22:00
"27.11.2020 01:32:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";07:22:00
"27.11.2020 01:32:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";07:22:00
"26.11.2020 23:48:01";P;"Reanuda su servicio y realiza el recorrido completo entre cabeceras";00:02:00
"26.11.2020 21:30:02";P;"Servicio interrumpido";02:16:00
"26.11.2020 14:06:03";A;"Servicio limitado Lima y San Pedrito por operativo de seguridad en la vía pública.";11:23:59
"26.11.2020 11:24:02";E;"Los trenes no se detienen en Bolívar por operativo de seguridad en la vía pública";14:06:00
"26.11.2020 10:22:01";E;"Los trenes no se detienen en la estación Bolivar";01:00:01
"26.11.2020 09:04:03";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:49:59
"26.11.2020 09:04:03";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:49:59
"26.11.2020 09:04:03";E;"Los trenes no se detienen en Bolívar por operativo de seguridad en la vía pública";01:15:59
"26.11.2020 09:04:03";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:49:59
"26.11.2020 09:02:03";A;"Servicio limitado Lima y San Pedrito Por operativo de seguridad en la vía pública";05:01:59
"26.11.2020 09:02:03";D;"Servicio limitado 9 de Julio - C. de Tucumán Por operativo de seguridad en la vía pública";16:27:59
"26.11.2020 01:24:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";07:32:00
"26.11.2020 01:04:02";C;"Servicio interrumpido debido a una causa técnica";00:18:00
"25.11.2020 18:00:03";P;"Ya realiza su recorrido completo entre cabeceras";00:03:59
"25.11.2020 17:16:02";P;"Servicio interrumpido debido a una causa técnica";00:42:01
"25.11.2020 17:06:02";P;"Servicio interrumpido por formación detenida debido a una causa técnica";00:08:00
"25.11.2020 16:50:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";16:10:01
"25.11.2020 16:46:02";A;"Ya circula con su frecuencia habitual";00:02:00
"25.11.2020 16:38:02";A;"Servicio con demora";00:06:00
"25.11.2020 09:00:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";07:36:00
"25.11.2020 09:00:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:56:00
"25.11.2020 09:00:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";16:02:00
"25.11.2020 09:00:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";24:00:01
"25.11.2020 09:00:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";24:02:01
"25.11.2020 09:00:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:56:00
"24.11.2020 09:02:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:46:00
"24.11.2020 09:02:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:46:00
"24.11.2020 09:02:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:46:00
"24.11.2020 09:02:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:46:00
"24.11.2020 09:02:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:46:00
"24.11.2020 09:02:02";H;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";23:46:00
"23.11.2020 11:02:02";A;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";21:50:01
"23.11.2020 11:02:02";B;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";21:50:01
"23.11.2020 11:02:02";C;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";21:50:01
"23.11.2020 11:02:02";D;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";21:50:01
"23.11.2020 11:02:02";E;"Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar";21:50:01
